iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.5917476756	0.5976455811	0.5917476756	0.5099191771
1	0.6595817283	0.5630568937	0.6595817283	0.5374520493
2	0.6626731176	0.5569240026	0.6626731176	0.5427115189
3	0.6629142161	0.5501575929	0.6629142161	0.5475744326
4	0.6631277873	0.5472313254	0.6631277873	0.5454170958
5	0.6656049824	0.5453070649	0.6656049824	0.5499896072
6	0.6744159087	0.5432713457	0.6744159087	0.5549887778
7	0.673362116	0.5420584625	0.673362116	0.5542611895
8	0.6755340598	0.540520929	0.6755340598	0.5605493134
9	0.6753346413	0.5395793518	0.6753346413	0.5610519724
10	0.676931113	0.5390306064	0.676931113	0.56272177
11	0.6772660077	0.5376004401	0.6772660077	0.5635983264
12	0.6815123998	0.5356924746	0.6815123998	0.5676691729
13	0.6895794031	0.5328432543	0.6895794031	0.5709618134
14	0.6918447044	0.5285392309	0.6918447044	0.5716602473
15	0.694220788	0.5272654844	0.694220788	0.5739165654
16	0.6966463795	0.526895845	0.6966463795	0.5749346208
17	0.697580117	0.5260161309	0.697580117	0.5765584023
18	0.6974784802	0.5255255851	0.6974784802	0.5769153022
19	0.6982817128	0.5236162213	0.6982817128	0.5783181358
20	0.6990666383	0.5230261019	0.6990666383	0.5772864322
21	0.6990681298	0.5217153916	0.6990681298	0.5783521809
22	0.7024871829	0.5202355113	0.7024871829	0.5832656377
23	0.70657731	0.5179048626	0.70657731	0.5883071909
24	0.7072533141	0.5159022026	0.7072533141	0.5878775593
25	0.708744879	0.5145504698	0.708744879	0.5905110975
26	0.713079381	0.5115597596	0.713079381	0.5957533687
27	0.7146950803	0.5096051888	0.7146950803	0.5983606557
28	0.7164221076	0.5082005505	0.7164221076	0.598980632
29	0.7200984325	0.5064242558	0.7200984325	0.6022773485
30	0.7225119844	0.5046827498	0.7225119844	0.6055045872
31	0.7222363201	0.5034376204	0.7222363201	0.6050112039
32	0.7229949035	0.5021720225	0.7229949035	0.6063699469
33	0.7225469676	0.5012054741	0.7225469676	0.6052953157
34	0.7265716826	0.4990808675	0.7265716826	0.6089782653
35	0.730887853	0.4970907714	0.730887853	0.6134794965
36	0.7316221754	0.4952642544	0.7316221754	0.6150712831
37	0.7340336477	0.4929985514	0.7340336477	0.6169780666
38	0.7340336477	0.4920039386	0.7340336477	0.6169780666
39	0.7351436773	0.4903182213	0.7351436773	0.6176291793
40	0.7397229029	0.4886623802	0.7397229029	0.6231972375
41	0.73881065	0.4871683908	0.73881065	0.6223577236
42	0.7401442086	0.48630951	0.7401442086	0.6231502129
43	0.7408439218	0.4839234196	0.7408439218	0.6252292643
44	0.7439199684	0.4810517139	0.7439199684	0.6275624112
45	0.7466649648	0.4783805197	0.7466649648	0.6306598985
46	0.752936676	0.4763070309	0.752936676	0.6380467955
47	0.7556537364	0.4736743567	0.7556537364	0.6400486421
48	0.755341661	0.4721614865	0.755341661	0.6400162338
49	0.7550579511	0.4714931356	0.7550579511	0.6394971614
50	0.7612932489	0.4688596748	0.7612932489	0.6468915075
51	0.7643649272	0.4670887483	0.7643649272	0.6506612411
52	0.7645168762	0.4664420461	0.7645168762	0.6506710045
53	0.7651867907	0.4651087258	0.7651867907	0.6510966694
54	0.7687012831	0.4634681401	0.7687012831	0.6548924076
55	0.7705787087	0.462005558	0.7705787087	0.6581039755
56	0.7707278235	0.4616599576	0.7707278235	0.6581092095
57	0.7706460363	0.4596453623	0.7706460363	0.658501735
58	0.7714541974	0.4588577078	0.7714541974	0.6591882521
59	0.7727670928	0.4574413824	0.7727670928	0.6608163265
60	0.7769243743	0.4559208374	0.7769243743	0.6653069549
61	0.7764841384	0.4548991066	0.7764841384	0.6655757824
62	0.7766306818	0.4539066137	0.7766306818	0.6655764513
63	0.7769214318	0.4529411042	0.7769214318	0.6661211129
64	0.7775042113	0.4517409359	0.7775042113	0.6669396111
65	0.7818667747	0.4498084662	0.7818667747	0.6712972421
66	0.7837526189	0.4484576887	0.7837526189	0.6734777278
67	0.7854981703	0.4462667769	0.7854981703	0.6759467758
68	0.7844843114	0.4448917354	0.7844843114	0.6748566749
69	0.7849933517	0.443467614	0.7849933517	0.6755428103
70	0.7855714707	0.4424896223	0.7855714707	0.6760851761
71	0.7886068124	0.4406449528	0.7886068124	0.6793533865
72	0.7902644542	0.4394396242	0.7902644542	0.6811208836
73	0.7906324352	0.4383817205	0.7906324352	0.6818181818
74	0.7934038985	0.4369272172	0.7934038985	0.6859843814
75	0.7934778752	0.4358742047	0.7934778752	0.6861253854
76	0.7953978351	0.4343658946	0.7953978351	0.6875768758
77	0.7949201886	0.4327957349	0.7949201886	0.6877697842
78	0.7962233248	0.4318528305	0.7962233248	0.6894282188
79	0.7971031959	0.4303151684	0.7971031959	0.6908341916
80	0.7991261286	0.4290775015	0.7991261286	0.6933223413
81	0.8029872898	0.4271547342	0.8029872898	0.6974063401
82	0.8034658253	0.4256695189	0.8034658253	0.6988847584
83	0.8053668068	0.4241711538	0.8053668068	0.7017180708
84	0.8058591	0.422872271	0.8058591	0.7021100538
85	0.8075180959	0.4211081647	0.8075180959	0.7042020286
86	0.8106988677	0.4199701653	0.8106988677	0.7072918818
87	0.8109445261	0.4189277189	0.8109445261	0.708048831
88	0.8123174478	0.4170021068	0.8123174478	0.7098778215
89	0.8119401089	0.4157230403	0.8119401089	0.7091435664
90	0.8118849803	0.4144844828	0.8118849803	0.7093167702
91	0.8150627948	0.413717368	0.8150627948	0.7135449077
92	0.8168732449	0.4125096295	0.8168732449	0.7151138716
93	0.8192822213	0.4108716179	0.8192822213	0.7187045879
94	0.8196886895	0.4095993047	0.8196886895	0.7189379797
95	0.8209821205	0.4081423143	0.8209821205	0.7206309672
96	0.8238946509	0.4063617068	0.8238946509	0.7241021383
97	0.8253191137	0.4044735621	0.8253191137	0.7266291901
98	0.8275200407	0.403103019	0.8275200407	0.7292794669
99	0.828380864	0.4018362489	0.828380864	0.7304166667
100	0.8290261691	0.4004987512	0.8290261691	0.7319824525
101	0.8286721374	0.3996564711	0.8286721374	0.7315646543
102	0.8296880411	0.3984040517	0.8296880411	0.7330127535
103	0.8313344593	0.3967049503	0.8313344593	0.7351464435
104	0.8310579136	0.3951730657	0.8310579136	0.7348817744
105	0.8323621688	0.3936023355	0.8323621688	0.7360501567
106	0.8326709202	0.3914327747	0.8326709202	0.7366659695
107	0.8353469273	0.389861227	0.8353469273	0.739148581
108	0.8353813749	0.389560882	0.8353813749	0.7395028201
109	0.8357334799	0.3891303459	0.8357334799	0.7399206183
110	0.8397181322	0.3878002792	0.8397181322	0.7444676409
111	0.840612285	0.3866232644	0.840612285	0.7459753293
112	0.8400594393	0.3854635042	0.8400594393	0.7465882847
113	0.8383664956	0.3839499678	0.8383664956	0.7457841484
114	0.8380077912	0.3832013637	0.8380077912	0.7459345301
115	0.8399344638	0.3819339537	0.8399344638	0.7477857444
116	0.839931159	0.3809603695	0.839931159	0.7483625607
117	0.8429102276	0.3796418878	0.8429102276	0.7514767932
118	0.8420890831	0.3792370958	0.8420890831	0.7501053519
119	0.8436519563	0.3781080489	0.8436519563	0.7515253524
120	0.8442760999	0.3771761717	0.8442760999	0.7522086664
121	0.8459552395	0.3761971684	0.8459552395	0.7547408344
122	0.84782905	0.3754442337	0.84782905	0.7573839662
123	0.8478823621	0.3739171667	0.8478823621	0.7589569642
124	0.8511915618	0.3729733253	0.8511915618	0.7624894157
125	0.8514975912	0.3720834229	0.8514975912	0.7625290759
126	0.8534264111	0.3716149114	0.8534264111	0.7641350211
127	0.8553748106	0.3704948594	0.8553748106	0.7669554194
128	0.8552770435	0.3688258261	0.8552770435	0.7676339759
129	0.8573396802	0.3675021322	0.8573396802	0.7704049184
130	0.858496346	0.3666164894	0.858496346	0.7716101695
131	0.8583859751	0.3655717647	0.8583859751	0.7716769133
132	0.8591318245	0.3648538967	0.8591318245	0.7729202037
133	0.8597001611	0.3632118368	0.8597001611	0.7732089869
134	0.8607940825	0.3628432268	0.8607940825	0.774877997
135	0.861142132	0.362502552	0.861142132	0.7753023552
136	0.8606349459	0.3619079047	0.8606349459	0.7745493107
137	0.8626639437	0.3613751862	0.8626639437	0.7775653282
138	0.863011719	0.36010049	0.863011719	0.7779902273
139	0.8646136698	0.3594183999	0.8646136698	0.7804255319
140	0.8637069709	0.3585793115	0.8637069709	0.7788400255
141	0.8643739145	0.3583965388	0.8643739145	0.7799277057
142	0.8639982339	0.3579241925	0.8639982339	0.7797403703
143	0.8652261527	0.3572683582	0.8652261527	0.781996587
144	0.8650383664	0.3566060701	0.8650383664	0.7819035425
145	0.8659489429	0.3562713405	0.8659489429	0.7826086957
146	0.8672051743	0.3548442375	0.8672051743	0.7846318036
147	0.8674459777	0.3543104431	0.8674459777	0.7851345579
148	0.867660633	0.3534323005	0.867660633	0.7858823529
149	0.8676065876	0.3523519018	0.8676065876	0.7854700855
150	0.8677672569	0.3521115546	0.8677672569	0.7858059
151	0.8675539192	0.3510861788	0.8675539192	0.7859589041
152	0.8685973242	0.3499649163	0.8685973242	0.7872431507
153	0.8700372518	0.3489052164	0.8700372518	0.7884615385
154	0.8713921194	0.348654681	0.8713921194	0.7895073576
155	0.871689898	0.3478095709	0.871689898	0.7904293954
156	0.8711824432	0.3474500078	0.8711824432	0.7896647448
157	0.8727855939	0.3458797169	0.8727855939	0.7921300257
158	0.8739047127	0.3451527424	0.8739047127	0.7935828877
159	0.8744930211	0.3447802556	0.8744930211	0.7945205479
160	0.8752071009	0.3435519937	0.8752071009	0.7951240376
161	0.8742857749	0.3432748371	0.8742857749	0.794684955
162	0.8736274364	0.3417091088	0.8736274364	0.7945028989
163	0.8739511972	0.3410373958	0.8739511972	0.7951859016
164	0.874505668	0.3402880715	0.874505668	0.7954496673
165	0.8750140975	0.3397747236	0.8750140975	0.796220743
166	0.8757068316	0.3396623613	0.8757068316	0.797079665
167	0.8763399045	0.3394931082	0.8763399045	0.7975117975
168	0.8763181022	0.3389069428	0.8763181022	0.7977672821
169	0.8769074066	0.3376728762	0.8769074066	0.7987110634
170	0.8776414917	0.336914864	0.8776414917	0.7990564015
171	0.8783114378	0.335490587	0.8783114378	0.8001717107
172	0.8785756438	0.334942049	0.8785756438	0.8004291845
173	0.8820614888	0.3339641123	0.8820614888	0.8041988003
174	0.8819424912	0.3334317888	0.8819424912	0.8045483802
175	0.88176084	0.3329580315	0.88176084	0.8044644774
176	0.8820050121	0.3328514903	0.8820050121	0.8049828179
177	0.882812166	0.3320048364	0.882812166	0.8054900279
178	0.882812166	0.3313558992	0.882812166	0.8054900279
179	0.8834637554	0.3307275774	0.8834637554	0.8068743287
180	0.8845772906	0.3298767473	0.8845772906	0.8083369145
181	0.885230445	0.3289821736	0.885230445	0.809728799
182	0.8866222141	0.3278146848	0.8866222141	0.8111827957
183	0.8884864381	0.3266180825	0.8884864381	0.8139534884
184	0.8900370915	0.325882819	0.8900370915	0.8157554886
185	0.8879636713	0.3251228628	0.8879636713	0.8134424817
186	0.8883577893	0.3239201797	0.8883577893	0.8145909778
187	0.8898287136	0.3231252249	0.8898287136	0.8162208801
188	0.8911324955	0.3222745219	0.8911324955	0.8174962293
189	0.8912004838	0.3206513087	0.8912004838	0.8179465056
190	0.8916114492	0.3200856221	0.8916114492	0.8188296264
191	0.8918720029	0.3200469742	0.8918720029	0.8190846287
192	0.8916658969	0.3195624102	0.8916658969	0.8195586326
193	0.8932591081	0.3187718491	0.8932591081	0.8223812622
194	0.8934242089	0.3181098993	0.8934242089	0.8227381211
195	0.8935327146	0.317689066	0.8935327146	0.8223570191
196	0.8933677476	0.3170018636	0.8933677476	0.8220008662
197	0.8925858762	0.3164220348	0.8925858762	0.8212351029
198	0.8928333076	0.3158918447	0.8928333076	0.8217692975
199	0.8927508152	0.3155884274	0.8927508152	0.8215911554
200	0.8925589585	0.3152587628	0.8925589585	0.8217929238
201	0.8942758207	0.3148385898	0.8942758207	0.8239635338
202	0.8943459165	0.3146931487	0.8943459165	0.8244241634
203	0.8950201638	0.3138033608	0.8950201638	0.8255763375
204	0.8973379897	0.3130502854	0.8973379897	0.8284409654
205	0.8975038147	0.3122864784	0.8975038147	0.8288013922
206	0.8983653428	0.3114475618	0.8983653428	0.8297455969
207	0.8980229898	0.3109123649	0.8980229898	0.8293107197
208	0.8964869128	0.3106189639	0.8964869128	0.8272114758
209	0.8975758597	0.3098652108	0.8975758597	0.8292682927
210	0.8984274121	0.3095119552	0.8984274121	0.8305010893
211	0.8990193344	0.3085135405	0.8990193344	0.8314802703
212	0.9005274013	0.3070238304	0.9005274013	0.8344631533
213	0.901055197	0.3060027923	0.901055197	0.8346800611
214	0.9025157994	0.3049597509	0.9025157994	0.8363160192
215	0.9028657804	0.304201453	0.9028657804	0.8364587876
216	0.9031239482	0.3037841736	0.9031239482	0.8367124482
217	0.9029410085	0.30306607	0.9029410085	0.836935167
218	0.9027742189	0.3030501943	0.9027742189	0.8365699324
219	0.9029410085	0.3026298697	0.9029410085	0.836935167
220	0.902857606	0.3026071553	0.902857606	0.8367525098
221	0.9039962696	0.3014600792	0.9039962696	0.8370676528
222	0.9039886889	0.3008219801	0.9039886889	0.8373612018
223	0.9050040586	0.3003451312	0.9050040586	0.838962737
224	0.9049206227	0.2997389229	0.9049206227	0.8387799564
225	0.9083132363	0.2983668615	0.9083132363	0.8437363597
226	0.9087319644	0.2972594759	0.9087319644	0.844658073
227	0.9095847578	0.2966249432	0.9095847578	0.8455994759
228	0.9105288209	0.2954523953	0.9105288209	0.8461203139
229	0.9112910555	0.2948248967	0.9112910555	0.847176804
230	0.9107760936	0.2941700796	0.9107760936	0.8469766427
231	0.9111155832	0.2936871287	0.9111155832	0.8474132286
232	0.9114587326	0.2930990124	0.9114587326	0.8475463468
233	0.9119621345	0.2923701934	0.9119621345	0.848656912
234	0.9108599592	0.2919324649	0.9108599592	0.8471615721
235	0.9109478597	0.2912607152	0.9109478597	0.8470434213
236	0.9117031023	0.2905556475	0.9117031023	0.8487101006
237	0.9116154455	0.2894890819	0.9116154455	0.8488295778
238	0.9113520337	0.2889925645	0.9113520337	0.8491889522
239	0.9118639981	0.288578092	0.9118639981	0.8496932515
240	0.9135626019	0.2877093801	0.9135626019	0.851884312
241	0.9136441641	0.2868786437	0.9136441641	0.8523799079
242	0.9148334381	0.2863030154	0.9148334381	0.8537601403
243	0.9141571355	0.2860818114	0.9141571355	0.8525739321
244	0.9144143679	0.2855567697	0.9144143679	0.8525164114
245	0.9152587818	0.2846846472	0.9152587818	0.8540753725
246	0.9148354721	0.2844141488	0.9148354721	0.8534501643
247	0.9155960835	0.2840269413	0.9155960835	0.8548245614
248	0.9144897223	0.2835541511	0.9144897223	0.8539424555
249	0.9151689085	0.2832725878	0.9151689085	0.8548209971
250	0.9172041396	0.2822873655	0.9172041396	0.857456622
251	0.9171196244	0.2814977385	0.9171196244	0.8572683355
252	0.9173717424	0.2809734177	0.9173717424	0.8584635703
253	0.9179650438	0.280040513	0.9179650438	0.8594713656
254	0.9182198417	0.2793406722	0.9182198417	0.8594059406
255	0.9192365358	0.2784498903	0.9192365358	0.8610438229
256	0.920253399	0.2775780292	0.920253399	0.8626845933
257	0.9214404012	0.2767233867	0.9214404012	0.8647097771
258	0.9218624771	0.276168797	0.9218624771	0.86501985
259	0.922539098	0.2753538823	0.922539098	0.8659020732
260	0.923465847	0.274411625	0.923465847	0.8667107292
261	0.9233808272	0.2741146173	0.9233808272	0.8665198238
262	0.9238035316	0.2736975257	0.9238035316	0.8671513549
263	0.9242261933	0.2725836346	0.9242261933	0.8677831644
264	0.9248190751	0.2716279125	0.9248190751	0.8687982359
265	0.9243169064	0.2712606876	0.9243169064	0.8686244204
266	0.925159789	0.2706145874	0.925159789	0.8695652174
267	0.9246547808	0.2699565227	0.9246547808	0.869066019
268	0.9252450067	0.2694554352	0.9252450067	0.8697571744
269	0.9260906008	0.2687117309	0.9260906008	0.871024735
270	0.9270172023	0.267771668	0.9270172023	0.8721572091
271	0.928274807	0.2674134654	0.928274807	0.8734009704
272	0.9290436055	0.2663167862	0.9290436055	0.8751381215
273	0.9307994987	0.2656518401	0.9307994987	0.8768755516
274	0.9307139927	0.2651604259	0.9307139927	0.876682109
275	0.9302129027	0.264628098	0.9302129027	0.8761862723
276	0.9313064922	0.2640442804	0.9313064922	0.8777041943
277	0.9317345092	0.2630792427	0.9317345092	0.8786740331
278	0.9324062772	0.2626544341	0.9324062772	0.879558011
279	0.9322486491	0.2617434501	0.9322486491	0.8798406727
280	0.932842032	0.260837817	0.932842032	0.8808680248
281	0.9335289638	0.2601020955	0.9335289638	0.8824312334
282	0.9344431794	0.2591897653	0.9344431794	0.8832262353
283	0.9346231309	0.2582850602	0.9346231309	0.8839582871
284	0.9348484437	0.2573188072	0.9348484437	0.8831858407
285	0.9346070005	0.257165543	0.9346070005	0.8832779623
286	0.9362066364	0.2560654541	0.9362066364	0.8856382979
287	0.937135262	0.2558254727	0.937135262	0.8871146596
288	0.9376522588	0.255190585	0.9376522588	0.8882966911
289	0.9374798632	0.2543641028	0.9374798632	0.8879023307
290	0.9380835255	0.2541331561	0.9380835255	0.8892841263
291	0.9384188123	0.2535075132	0.9384188123	0.8897287683
292	0.9393482165	0.2528831406	0.9393482165	0.8912124583
293	0.9398453979	0.2524722956	0.9398453979	0.8917055815
294	0.9403530974	0.25186544	0.9403530974	0.8925472747
295	0.940439557	0.2516294221	0.940439557	0.8927458834
296	0.94119555	0.2508307376	0.94119555	0.8938348542
297	0.9422617784	0.2497570597	0.9422617784	0.8946666667
298	0.9433625936	0.2492350689	0.9433625936	0.8965517241
299	0.9429419947	0.2481262434	0.9429419947	0.8959074733
300	0.9436098787	0.2473965177	0.9436098787	0.896797153
301	0.94484457	0.2470677441	0.94484457	0.8980226616
302	0.9458577434	0.2461166551	0.9458577434	0.8997109184
303	0.9453646465	0.2452795328	0.9453646465	0.8992213571
304	0.9457116823	0.244632406	0.9457116823	0.9000222668
305	0.9459444831	0.2436657273	0.9459444831	0.899911032
306	0.9469866023	0.2426573808	0.9469866023	0.9023193577
307	0.9471749645	0.2420746395	0.9471749645	0.9030817329
308	0.9474214966	0.2416616089	0.9474214966	0.9033266354
309	0.9467543202	0.2412168918	0.9467543202	0.9024335789
310	0.9485086308	0.2403254675	0.9485086308	0.9048682448
311	0.9479438973	0.239682953	0.9479438973	0.9045383412
312	0.9477696998	0.2395647871	0.9477696998	0.9041340782
313	0.9482774526	0.2386974815	0.9482774526	0.9049854684
314	0.9496664877	0.2381598033	0.9496664877	0.90625
315	0.9493491786	0.2376719121	0.9493491786	0.9061662198
316	0.9504190962	0.2370265444	0.9504190962	0.9073453896
317	0.9516783749	0.2358447351	0.9516783749	0.9092940125
318	0.9521149991	0.2348541644	0.9521149991	0.9103108924
319	0.9526050435	0.2342885824	0.9526050435	0.9107981221
320	0.9523430087	0.2336910392	0.9523430087	0.9101876676
321	0.9528498939	0.2328015099	0.9528498939	0.9110415735
322	0.9530771984	0.231895734	0.9530771984	0.9109176155
323	0.9543346456	0.2311387146	0.9543346456	0.9128686327
324	0.9542472246	0.2301053273	0.9542472246	0.9126647308
325	0.9537585447	0.2296111624	0.9537585447	0.9121787709
326	0.9541777959	0.229205491	0.9541777959	0.9128296826
327	0.9528498939	0.228439624	0.9528498939	0.9110415735
328	0.9529372729	0.2281570886	0.9529372729	0.9112452493
329	0.9531995062	0.2278863847	0.9531995062	0.9118568233
330	0.953129546	0.2274687269	0.953129546	0.9120214909
331	0.9528672226	0.2270923745	0.9528672226	0.911409396
332	0.9532694079	0.2267410459	0.9532694079	0.9116923765
333	0.9528498939	0.2261201209	0.9528498939	0.9110415735
334	0.9529372729	0.2256208961	0.9529372729	0.9112452493
335	0.9534442501	0.2251287911	0.9534442501	0.9121002013
336	0.9538816364	0.2247346272	0.9538816364	0.9131213614
337	0.9547576138	0.2242936076	0.9547576138	0.9151705566
338	0.9545640734	0.2236619869	0.9545640734	0.9143881667
